Trading name,CLUE small area,Seating type,Number of seats,Longitude,Latitude,derived_cuisine
Supper Inn Chinese Restaurant,Melbourne (CBD),Seats - Indoor,70,144.96613017,-37.81188094,Chinese
Nelayan Indonesian Restaurant,Melbourne (CBD),Seats - Indoor,130,144.966630476,-37.81126839,Other Cuisines
Tsindos Greek Restaurant,Melbourne (CBD),Seats - Outdoor,16,144.966576483,-37.81128456,Greek
Tsindos Greek Restaurant,Melbourne (CBD),Seats - Indoor,80,144.966576483,-37.81128456,Greek
By Korea,Melbourne (CBD),Seats - Indoor,45,144.96560295,-37.81213633,Other Cuisines
Wong's Late Night Hot Pot,Melbourne (CBD),Seats - Indoor,70,144.966418386,-37.81202818,Other Cuisines
Fortune Dumpling,Melbourne (CBD),Seats - Indoor,65,144.966672391,-37.81197639,Chinese
Bornga Melbourne,Melbourne (CBD),Seats - Indoor,110,144.966941928,-37.81186912,Other Cuisines
Juicy Bao,Melbourne (CBD),Seats - Indoor,70,144.966941928,-37.81186912,Other Cuisines
Spice World Melbourne,Melbourne (CBD),Seats - Indoor,100,144.967129981,-37.8118553,Other Cuisines
Sweetie And Moustache Dessert Lounge,Melbourne (CBD),Seats - Indoor,80,144.967298399,-37.81169847,Other Cuisines
Welive Hotpot,Melbourne (CBD),Seats - Indoor,35,144.967236445,-37.81156166,Chinese
LaoLiuZhou River Snails Rice Noodles,Melbourne (CBD),Seats - Indoor,25,144.967166699,-37.81140869,Other Cuisines
Nam Loong,Melbourne (CBD),Seats - Indoor,50,144.967166699,-37.81140869,Other Cuisines
Shan Cheng Wai Fish And Pickles,Melbourne (CBD),Seats - Indoor,28,144.965104624,-37.81169356,Other Cuisines
Gong De Lin,Melbourne (CBD),Seats - Indoor,40,144.965147314,-37.81181063,Other Cuisines
Foodie Hub,Melbourne (CBD),Seats - Indoor,20,144.965250371,-37.81199559,Other Cuisines
Yamato Japanese Restaurant,Melbourne (CBD),Seats - Indoor,50,144.969584878,-37.81067091,Japanese
Pinto Thai Food,Melbourne (CBD),Seats - Indoor,20,144.969520605,-37.81051104,Thai
Bar Margaux,Melbourne (CBD),Seats - Indoor,213,144.969119408,-37.81053335,Western / Pub / Bistro
Dumpling Guys,Melbourne (CBD),Seats - Indoor,45,144.96786271,-37.81093607,Chinese
