Trading name,CLUE small area,Seating type,Number of seats,Longitude,Latitude,derived_cuisine
Scugnizzo Ristorante,Melbourne (CBD),Seats - Outdoor,14,144.955942078,-37.81491966,Italian
Lim Kopi,Melbourne (CBD),Seats - Indoor,55,144.956367186,-37.81477885,Other Cuisines
Dackie Maolatang Melbourne Pty Ltd,Melbourne (CBD),Seats - Indoor,20,144.95704074,-37.8146364,Other Cuisines
Kodai Sushi And Chicken,Melbourne (CBD),Seats - Indoor,23,144.95704074,-37.8146364,Japanese
Number 12,Melbourne (CBD),Seats - Indoor,70,144.95704074,-37.8146364,Other Cuisines
Oh Dumplings,Melbourne (CBD),Seats - Indoor,40,144.95704074,-37.8146364,Chinese
Schmucks Bagels,Melbourne (CBD),Seats - Indoor,18,144.95704074,-37.8146364,Other Cuisines
Schmucks Bagels,Melbourne (CBD),Seats - Outdoor,18,144.95704074,-37.8146364,Other Cuisines
Gasthaus On Queen,Melbourne (CBD),Seats - Outdoor,16,144.959907268,-37.81386745,Other Cuisines
Sool Tong,Melbourne (CBD),Seats - Outdoor,6,144.959907268,-37.81386745,Other Cuisines
Queensmith Baretto,Melbourne (CBD),Seats - Indoor,30,144.959754236,-37.81355361,Western / Pub / Bistro
Queensmith Baretto,Melbourne (CBD),Seats - Outdoor,30,144.959754236,-37.81355361,Western / Pub / Bistro
Speck Cafe,Melbourne (CBD),Seats - Outdoor,12,144.959754236,-37.81355361,Cafe / Coffee Shop
Mr Ramen San 2,Melbourne (CBD),Seats - Indoor,28,144.962283023,-37.81321386,Japanese
Shanghai Street,Melbourne (CBD),Seats - Indoor,30,144.962283023,-37.81321386,Chinese
Amigos Hardware Lane,Melbourne (CBD),Seats - Outdoor,40,144.960866676,-37.8131434,Other Cuisines
Max On Hardware,Melbourne (CBD),Seats - Outdoor,50,144.961262261,-37.81339488,Other Cuisines
Pho Thin,Melbourne (CBD),Seats - Indoor,30,144.961012082,-37.81288006,Vietnamese
Claypots Barbarossa,Melbourne (CBD),Seats - Indoor,50,144.960680876,-37.81303978,Western / Pub / Bistro
Pho Thin 13 Lo Duc,Melbourne (CBD),Seats - Outdoor,20,144.960680876,-37.81303978,Vietnamese
The Hardware Club,Melbourne (CBD),Seats - Indoor,55,144.961073493,-37.81359799,Other Cuisines
Kirk's Wine Bar,Melbourne (CBD),Seats - Indoor,28,144.96132824,-37.81354346,Western / Pub / Bistro
French Saloon,Melbourne (CBD),Seats - Outdoor,10,144.96132824,-37.81354346,Other Cuisines
+39 Pizzeria & Antipasteria,Melbourne (CBD),Seats - Indoor,66,144.961749522,-37.81327298,Italian
Peddler,Melbourne (CBD),Seats - Outdoor,20,144.960469712,-37.81352285,Other Cuisines
Old Man Pho,Melbourne (CBD),Seats - Indoor,46,144.963838585,-37.81245199,Vietnamese
Shanghai Taste,Melbourne (CBD),Seats - Indoor,80,144.963838585,-37.81245199,Chinese
Hai Di Lao Hot Pot,Melbourne (CBD),Seats - Indoor,56,144.963838585,-37.81245199,Other Cuisines
Thai Social,Melbourne (CBD),Seats - Indoor,78,144.963838585,-37.81245199,Thai
Torino Aperitivo,Melbourne (CBD),Seats - Outdoor,20,144.963127568,-37.81292437,Other Cuisines
Dragon Hot Pot,Melbourne (CBD),Seats - Indoor,42,144.964696179,-37.81221437,Other Cuisines
Biang Biang,Melbourne (CBD),Seats - Indoor,65,144.964672714,-37.81216387,Other Cuisines
Dooboo Korean Tofu House,Melbourne (CBD),Seats - Indoor,100,144.964625377,-37.81206228,Korean
International Cakes,Melbourne (CBD),Seats - Outdoor,20,144.966848584,-37.81118708,Other Cuisines
International Cakes,Melbourne (CBD),Seats - Indoor,73,144.966848584,-37.81118708,Other Cuisines
The Crane,Melbourne (CBD),Seats - Indoor,80,144.966279121,-37.81203584,Other Cuisines
Le Charme,Melbourne (CBD),Seats - Indoor,46,144.966941928,-37.81186912,Other Cuisines
Uncle Yoon Korean Restaurant,Melbourne (CBD),Seats - Indoor,55,144.967298399,-37.81169847,Korean
Dragon Hot Pot,Melbourne (CBD),Seats - Indoor,35,144.967236445,-37.81156166,Other Cuisines
Stalactites Restaurant,Melbourne (CBD),Seats - Outdoor,15,144.96703692,-37.81111923,Other Cuisines
Stalactites Restaurant,Melbourne (CBD),Seats - Indoor,150,144.96703692,-37.81111923,Other Cuisines
Master Lanzhou Noodle Bar,Melbourne (CBD),Seats - Indoor,90,144.965342244,-37.8121468,Chinese
Shanghai Dumpling,Melbourne (CBD),Seats - Indoor,90,144.965438531,-37.8118662,Chinese
Golmokgil,Melbourne (CBD),Seats - Indoor,50,144.967044866,-37.81172075,Other Cuisines
Shujinko,Melbourne (CBD),Seats - Indoor,48,144.967136218,-37.81134264,Other Cuisines
Sichuan House,Melbourne (CBD),Seats - Indoor,98,144.968324899,-37.8109979,Other Cuisines
Yang's Dumplings,Melbourne (CBD),Seats - Indoor,36,144.969540361,-37.81058324,Chinese
Bomba Tapas Bar and Rooftop,Melbourne (CBD),Seats - Indoor,118,144.969254088,-37.81049305,Western / Pub / Bistro
Seamstress,Melbourne (CBD),Seats - Indoor,20,144.969011069,-37.81056538,Other Cuisines
Encore Restaurant & Bar,Melbourne (CBD),Seats - Indoor,35,144.968530007,-37.81098009,Western / Pub / Bistro
Ohgam,Melbourne (CBD),Seats - Indoor,56,144.968260016,-37.81079362,Other Cuisines
Dainty Sichuan Food,Melbourne (CBD),Seats - Indoor,180,144.96801737,-37.81090617,Other Cuisines
Empress of China,Melbourne (CBD),Seats - Indoor,100,144.968908437,-37.81131622,Chinese
Ju Noodle,Melbourne (CBD),Seats - Indoor,34,144.967644342,-37.81098272,Other Cuisines
Pearl Diver Cocktails & Oysters,Melbourne (CBD),Seats - Indoor,113,144.97049616,-37.81055707,Other Cuisines
Secret Kitchen,Melbourne (CBD),Seats - Indoor,300,144.97049616,-37.81055707,Other Cuisines
Longrain Melbourne,Melbourne (CBD),Seats - Indoor,140,144.971182949,-37.81058998,Other Cuisines
Little Gordon,Melbourne (CBD),Seats - Indoor,30,144.971413781,-37.81033978,Other Cuisines
Sunda,Melbourne (CBD),Seats - Indoor,66,144.971108187,-37.81043132,Other Cuisines
Gillott Espresso,Melbourne (CBD),Seats - Indoor,25,144.972057848,-37.81012783,Cafe / Coffee Shop
House Of Kebabs,Melbourne (CBD),Seats - Indoor,21,144.954298289,-37.81392013,Middle Eastern
Zabb Nua,Melbourne (CBD),Seats - Indoor,30,144.954262107,-37.81381086,Other Cuisines
Gogi Matcha,Melbourne (CBD),Seats - Indoor,174,144.953829359,-37.81380956,Japanese
Gangnam Pocha,Melbourne (CBD),Seats - Indoor,37,144.954929347,-37.81372352,Korean
PAIK'S BBQ,Melbourne (CBD),Seats - Indoor,100,144.95639703,-37.81311232,Korean
Seoul Toast Bong,Melbourne (CBD),Seats - Outdoor,2,144.955565246,-37.81329521,Korean
Delicious Asian Cuisines & Pho,Melbourne (CBD),Seats - Indoor,24,144.955565246,-37.81329521,Vietnamese
Kappo Tora,Melbourne (CBD),Seats - Indoor,52,144.955565246,-37.81329521,Other Cuisines
Jang Gun Restaurant,Melbourne (CBD),Seats - Indoor,78,144.956016924,-37.8134766,Other Cuisines
Hakata Gensuke Healeys Lane,Melbourne (CBD),Seats - Indoor,24,144.956016924,-37.8134766,Other Cuisines
Liyin Rice Roll Master,Melbourne (CBD),Seats - Indoor,46,144.956016924,-37.8134766,Other Cuisines
Benny's Bakery Cafe,Melbourne (CBD),Seats - Outdoor,12,144.956016924,-37.8134766,Cafe / Coffee Shop
Seven Star Pocha,Melbourne (CBD),Seats - Outdoor,12,144.956016924,-37.8134766,Korean
Mankeumi,Melbourne (CBD),Seats - Indoor,20,144.96165032,-37.81190921,Other Cuisines
Pepper Lunch,Melbourne (CBD),Seats - Indoor,68,144.961561283,-37.81146864,Other Cuisines
Nimbo Pty Ltd,Melbourne (CBD),Seats - Indoor,14,144.960393602,-37.81210735,Other Cuisines
Mjolner Melbourne,Melbourne (CBD),Seats - Indoor,80,144.960680424,-37.81213605,Other Cuisines
Ten Square Cafe,Melbourne (CBD),Seats - Indoor,47,144.960703187,-37.81194755,Cafe / Coffee Shop
Bing Chillin,Melbourne (CBD),Seats - Indoor,53,144.960530585,-37.81240787,Other Cuisines
Dolan,Melbourne (CBD),Seats - Indoor,40,144.960960693,-37.81235069,Other Cuisines
Hanshin Pocha Melbourne,Melbourne (CBD),Seats - Indoor,108,144.960540527,-37.81181459,Korean
CJ Lunchbar,Melbourne (CBD),Seats - Indoor,36,144.960341087,-37.81187439,Western / Pub / Bistro
Pretty Boy Italian Steak House,Melbourne (CBD),Seats - Indoor,250,144.960137254,-37.81203671,Italian
Golden Mug Cafe,Melbourne (CBD),Seats - Indoor,50,144.960137254,-37.81203671,Cafe / Coffee Shop
Red Cliff Chinese Restaurant,Melbourne (CBD),Seats - Indoor,78,144.959946669,-37.81247757,Chinese
Where's Marcel?,Melbourne (CBD),Seats - Indoor,36,144.965703374,-37.810658,Other Cuisines
Cafe D Hong Kong,Melbourne (CBD),Seats - Indoor,60,144.965703374,-37.810658,Cafe / Coffee Shop
Cafe D Hong Kong,Melbourne (CBD),Seats - Outdoor,32,144.965703374,-37.810658,Cafe / Coffee Shop
Chocolateria San Churro QV,Melbourne (CBD),Seats - Outdoor,40,144.965703374,-37.810658,Other Cuisines
Fishbowl,Melbourne (CBD),Seats - Indoor,17,144.965703374,-37.810658,Other Cuisines
Papparich,Melbourne (CBD),Seats - Indoor,80,144.965703374,-37.810658,Other Cuisines
Papparich,Melbourne (CBD),Seats - Outdoor,40,144.965703374,-37.810658,Other Cuisines
Pepe's Italian & Liquor,Melbourne (CBD),Seats - Outdoor,200,144.968906571,-37.80938322,Italian
Mellow Beans,Melbourne (CBD),Seats - Outdoor,24,144.970732451,-37.8091842,Other Cuisines
Roll'd Lonsdale Street,Melbourne (CBD),Seats - Indoor,13,144.970732451,-37.8091842,Other Cuisines
All 4 U Cafe & Bar,Melbourne (CBD),Seats - Indoor,40,144.953234168,-37.81359291,Cafe / Coffee Shop
Le Will Cafe,Melbourne (CBD),Seats - Outdoor,80,144.955885513,-37.8124473,Cafe / Coffee Shop
Korea town melbourne,Melbourne (CBD),Seats - Outdoor,8,144.958660108,-37.81145082,Other Cuisines
Korea town melbourne,Melbourne (CBD),Seats - Indoor,90,144.958660108,-37.81145082,Other Cuisines
Ming Dining,Melbourne (CBD),Seats - Indoor,115,144.958660108,-37.81145082,Other Cuisines
The Common VU,Melbourne (CBD),Seats - Indoor,78,144.958430331,-37.81200376,Other Cuisines
The Mint Bar & Restaurant,Melbourne (CBD),Seats - Outdoor,90,144.957360919,-37.81209045,Western / Pub / Bistro
Brick Lane Cafe,Melbourne (CBD),Seats - Outdoor,5,144.959861129,-37.81146107,Cafe / Coffee Shop
Fuwa,Melbourne (CBD),Seats - Indoor,34,144.959978247,-37.81120131,Other Cuisines
Khao,Melbourne (CBD),Seats - Indoor,56,144.959644312,-37.81107017,Other Cuisines
Barkada,Melbourne (CBD),Seats - Indoor,70,144.960948366,-37.81131628,Western / Pub / Bistro
Sinjeon K Street Food Cbd,Melbourne (CBD),Seats - Indoor,32,144.960948366,-37.81131628,Other Cuisines
Mr Hugo,Melbourne (CBD),Seats - Indoor,26,144.960280316,-37.81158232,Other Cuisines
Old Man Pho,Melbourne (CBD),Seats - Outdoor,4,144.962061274,-37.81084464,Vietnamese
Chilli India,Melbourne (CBD),Seats - Indoor,110,144.962061274,-37.81084464,Other Cuisines
Chilli India,Melbourne (CBD),Seats - Outdoor,5,144.962061274,-37.81084464,Other Cuisines
Grill'd Healthy Burgers,Melbourne (CBD),Seats - Indoor,120,144.963018917,-37.81073331,Western / Pub / Bistro
Homm Dessert,Melbourne (CBD),Seats - Outdoor,24,144.963018917,-37.81073331,Other Cuisines
Omi Melbourne Central,Melbourne (CBD),Seats - Outdoor,12,144.963018917,-37.81073331,Other Cuisines
Omi Melbourne Central,Melbourne (CBD),Seats - Indoor,8,144.963018917,-37.81073331,Other Cuisines
The Pancake Parlour (Melbourne Central),Melbourne (CBD),Seats - Indoor,160,144.963018917,-37.81073331,Other Cuisines
Starbucks,Melbourne (CBD),Seats - Indoor,58,144.963018917,-37.81073331,Cafe / Coffee Shop
Asian Beer Cafe,Melbourne (CBD),Seats - Outdoor,127,144.963018917,-37.81073331,Cafe / Coffee Shop
bbq a buffet,Melbourne (CBD),Seats - Indoor,136,144.963996846,-37.81152963,Korean
BKK,Melbourne (CBD),Seats - Indoor,56,144.96414534,-37.81148546,Other Cuisines
Starbucks,Melbourne (CBD),Seats - Outdoor,6,144.964263714,-37.81122709,Cafe / Coffee Shop
Starbucks,Melbourne (CBD),Seats - Indoor,90,144.964263714,-37.81122709,Cafe / Coffee Shop
Mr Tall On Swanston,Melbourne (CBD),Seats - Indoor,94,144.964047258,-37.81076344,Other Cuisines
Fortune Alley,Melbourne (CBD),Seats - Indoor,16,144.964047258,-37.81076344,Other Cuisines
Famil Lee,Melbourne (CBD),Seats - Outdoor,12,144.968828365,-37.80893166,Italian
New Kum Den,Melbourne (CBD),Seats - Indoor,49,144.968446286,-37.80913993,Other Cuisines
Hong Dae Korean Restaurant & Bar,Melbourne (CBD),Seats - Indoor,70,144.968719501,-37.80913623,Korean
Baltic Buffet,Melbourne (CBD),Seats - Indoor,40,144.966928628,-37.80957196,Other Cuisines
B & B' Guette Cafe,Melbourne (CBD),Seats - Indoor,35,144.968771771,-37.80881313,Cafe / Coffee Shop
Ceree,Melbourne (CBD),Seats - Indoor,88,144.97101463,-37.80814525,Other Cuisines
Impresso Cafe,West Melbourne (Residential),Seats - Outdoor,8,144.953598901,-37.81229603,Cafe / Coffee Shop
Cafenatics,Melbourne (CBD),Seats - Outdoor,8,144.957113997,-37.81123723,Cafe / Coffee Shop
The Jazz Corner Cafe,Melbourne (CBD),Seats - Outdoor,8,144.956578269,-37.81124427,Cafe / Coffee Shop
Upstairs 360,Melbourne (CBD),Seats - Indoor,50,144.959136749,-37.8107204,Other Cuisines
Darac,Melbourne (CBD),Seats - Indoor,44,144.962074258,-37.8090975,Other Cuisines
Damiao Panda Fan,Melbourne (CBD),Seats - Indoor,150,144.961422563,-37.80953008,Other Cuisines
Damiao Panda Fan,Melbourne (CBD),Seats - Outdoor,20,144.961422563,-37.80953008,Other Cuisines
Kata Kita,Melbourne (CBD),Seats - Indoor,75,144.961747019,-37.80994879,Other Cuisines
Bingsoo,Melbourne (CBD),Seats - Indoor,24,144.961747019,-37.80994879,Other Cuisines
Hungry Jack's,Melbourne (CBD),Seats - Indoor,66,144.961747019,-37.80994879,Other Cuisines
Kata Kita,Melbourne (CBD),Seats - Outdoor,8,144.961747019,-37.80994879,Other Cuisines
Dear Barbecue Buffet,Melbourne (CBD),Seats - Indoor,110,144.963216993,-37.80904283,Western / Pub / Bistro
B'Churrasco,Melbourne (CBD),Seats - Indoor,180,144.961748936,-37.80919305,Other Cuisines
Pearson And Murphy's Cafe,Melbourne (CBD),Seats - Indoor,76,144.964543533,-37.80818156,Cafe / Coffee Shop
Pearson And Murphy's Cafe,Melbourne (CBD),Seats - Outdoor,80,144.964543533,-37.80818156,Cafe / Coffee Shop
The Drum,Melbourne (CBD),Seats - Indoor,88,144.964543533,-37.80818156,Other Cuisines
Little Bang Espresso,Melbourne (CBD),Seats - Indoor,33,144.964543533,-37.80818156,Cafe / Coffee Shop
Canto cafe e pizzeria,Melbourne (CBD),Seats - Outdoor,3,144.964543533,-37.80818156,Italian
Top Tea,Melbourne (CBD),Seats - Indoor,15,144.960522599,-37.80918797,Cafe / Coffee Shop
Biang Biang Elizabeth,Melbourne (CBD),Seats - Outdoor,10,144.96048906,-37.80911596,Other Cuisines
Rose Garden Barbecue Shop,Melbourne (CBD),Seats - Outdoor,24,144.960343859,-37.8088586,Western / Pub / Bistro
Menya Ramen,Melbourne (CBD),Seats - Outdoor,10,144.96023688,-37.80880991,Japanese
Malaysian Laksa House,Melbourne (CBD),Seats - Outdoor,16,144.960215796,-37.80856366,Other Cuisines
Lucky Guys Claypot City,Melbourne (CBD),Seats - Outdoor,16,144.959575429,-37.80904835,Other Cuisines
Yoi,Melbourne (CBD),Seats - Indoor,60,144.959575429,-37.80904835,Other Cuisines
Market Espresso & Trolley Hire,Melbourne (CBD),Seats - Outdoor,18,144.957205484,-37.80765748,Cafe / Coffee Shop
Rubens,Melbourne (CBD),Seats - Indoor,16,144.957205484,-37.80765748,Other Cuisines
Supersede Coffee,Melbourne (CBD),Seats - Outdoor,30,144.957205484,-37.80765748,Cafe / Coffee Shop
Cafe Gilli,Melbourne (CBD),Seats - Outdoor,40,144.957205484,-37.80765748,Cafe / Coffee Shop
McDonalds,Melbourne (CBD),Seats - Indoor,136,144.959552564,-37.80735265,Other Cuisines
McDonalds,Melbourne (CBD),Seats - Outdoor,64,144.959552564,-37.80735265,Other Cuisines
Operator San,Melbourne (CBD),Seats - Indoor,59,144.959088605,-37.8076845,Other Cuisines
Operator San,Melbourne (CBD),Seats - Outdoor,33,144.959088605,-37.8076845,Other Cuisines
Kombu Qvm Pty Ltd,Melbourne (CBD),Seats - Indoor,32,144.959088605,-37.8076845,Other Cuisines
Lovey Patisserie Cafe / X Playground,Melbourne (CBD),Seats - Outdoor,16,144.959088605,-37.8076845,Cafe / Coffee Shop
David's Master Pot,Melbourne (CBD),Seats - Indoor,47,144.960624495,-37.80783746,Other Cuisines
Chef David,Melbourne (CBD),Seats - Indoor,60,144.960624495,-37.80783746,Other Cuisines
Podium Espresso Bar & Kitchen,Melbourne (CBD),Seats - Indoor,57,144.961865678,-37.80689662,Cafe / Coffee Shop
Yarra Dragon,Docklands,Seats - Indoor,20,144.953818379,-37.82273183,Other Cuisines
The Longing Flavour,Carlton,Seats - Indoor,50,144.965164004,-37.79780844,Other Cuisines
Schnitz Melbourne Connect,Carlton,Seats - Indoor,12,144.96482819,-37.7999972,Other Cuisines
Claypot Kingdom,Carlton,Seats - Indoor,40,144.964765292,-37.79899938,Other Cuisines
Ms Frankie Carlton,Carlton,Seats - Indoor,150,144.966726926,-37.79886072,Other Cuisines
Ms Frankie Carlton,Carlton,Seats - Outdoor,50,144.966726926,-37.79886072,Other Cuisines
Dim Sim Holic,Carlton,Seats - Indoor,20,144.966590198,-37.80049164,Other Cuisines
Cafe Corretto,Carlton,Seats - Indoor,150,144.966741006,-37.80004558,Cafe / Coffee Shop
Lagoon Dining,Carlton,Seats - Indoor,100,144.966868004,-37.79929755,Other Cuisines
Aperitivo Bar Ristorante,Carlton,Seats - Indoor,45,144.966910371,-37.79905377,Italian
Tiamo,Carlton,Seats - Indoor,45,144.967089764,-37.79822136,Other Cuisines
Tiamo,Carlton,Seats - Outdoor,30,144.966981693,-37.79812248,Other Cuisines
Heartattack and Vine,Carlton,Seats - Outdoor,50,144.967148225,-37.79764329,Other Cuisines
Le Miel Et La Lune,Carlton,Seats - Indoor,35,144.966377828,-37.79685803,Other Cuisines
Qabail Restaurant,Carlton,Seats - Indoor,30,144.968164524,-37.79698294,Italian
Chapati Melbourne,Carlton,Seats - Indoor,30,144.97032083,-37.79692164,Other Cuisines
Capitano,Carlton,Seats - Indoor,80,144.970426225,-37.79652005,Other Cuisines
Vincent The Dog,Carlton,Seats - Outdoor,37,144.969267888,-37.79777638,Other Cuisines
Sunhands,Carlton,Seats - Outdoor,22,144.969295009,-37.79757961,Other Cuisines
Yo-Chi Frozen Yogurt,Carlton,Seats - Indoor,40,144.968020718,-37.79844782,Other Cuisines
Yo-Chi Frozen Yogurt,Carlton,Seats - Outdoor,20,144.968020718,-37.79844782,Other Cuisines
The Carlton Wine Room,Carlton,Seats - Indoor,140,144.968585611,-37.79858383,Other Cuisines
Sea Salt Kitchen,Carlton,Seats - Outdoor,23,144.967643727,-37.79828024,Other Cuisines
Sea Salt Kitchen,Carlton,Seats - Indoor,50,144.967634649,-37.79832944,Other Cuisines
Vertue Coffee Roasters,Carlton,Seats - Indoor,80,144.968387293,-37.79769784,Cafe / Coffee Shop
Vertue Coffee Roasters,Carlton,Seats - Outdoor,25,144.968387293,-37.79769784,Cafe / Coffee Shop
Doc Pizza & Mozarella Bar,Carlton,Seats - Indoor,60,144.968443765,-37.7989855,Italian
Shakahari Vegetarian Restaurant,Carlton,Seats - Indoor,76,144.967802954,-37.79900338,Other Cuisines
Kaprica,Carlton,Seats - Indoor,152,144.967880034,-37.80059699,Other Cuisines
Grill'd Healthy Burgers,Carlton,Seats - Outdoor,32,144.967526441,-37.79887015,Western / Pub / Bistro
DOC Espresso,Carlton,Seats - Outdoor,60,144.96747353,-37.79932164,Cafe / Coffee Shop
Donnini's Restaurant,Carlton,Seats - Indoor,70,144.967510433,-37.79953749,Other Cuisines
Copperwood,Carlton,Seats - Indoor,160,144.967600033,-37.79962339,Other Cuisines
"Johnny, Vince And Sam's",Carlton,Seats - Outdoor,32,144.967416427,-37.79978612,Other Cuisines
Shinbashi Yakiniku,Carlton,Seats - Indoor,74,144.967348455,-37.80004497,Other Cuisines
Abla's Restaurant,Carlton,Seats - Indoor,80,144.971058181,-37.79776853,Other Cuisines
Chamman Sheesha Cafe & Restaurant,Carlton,Seats - Indoor,38,144.97104054,-37.7960463,Cafe / Coffee Shop
Sushi Ten,Carlton,Seats - Outdoor,8,144.97118345,-37.79518777,Japanese
Fu Lu Chinese Cafe,Carlton,Seats - Indoor,20,144.971159348,-37.79532263,Chinese
Fu Lu Chinese Cafe,Carlton,Seats - Outdoor,4,144.971159348,-37.79532263,Chinese
Okra Sri Lankan Cuisine,Carlton,Seats - Outdoor,20,144.971140453,-37.79543507,Other Cuisines
Bar Bellamy,Carlton,Seats - Indoor,35,144.971131911,-37.79547684,Western / Pub / Bistro
Muli,Carlton,Seats - Indoor,20,144.971229464,-37.79476659,Other Cuisines
Haymarket Place,Carlton,Seats - Indoor,47,144.958998433,-37.80052523,Other Cuisines
Best tian shan,Carlton,Seats - Outdoor,12,144.963297148,-37.80058304,Other Cuisines
Lincoln Bakery Cafe,Carlton,Seats - Outdoor,36,144.962728786,-37.8013409,Cafe / Coffee Shop
Rice Bar Not Only Rice,Carlton,Seats - Outdoor,40,144.965103662,-37.80077102,Western / Pub / Bistro
Colourful Yunnan Restaurant,Carlton,Seats - Outdoor,8,144.964236564,-37.80062759,Other Cuisines
Norsiah's Kitchen,Carlton,Seats - Indoor,20,144.96431186,-37.80188571,Other Cuisines
Eat Ngon,Carlton,Seats - Indoor,30,144.96431186,-37.80188571,Other Cuisines
Shooter McGavins,Carlton,Seats - Indoor,12,144.965624121,-37.80080042,Other Cuisines
Kabana Restaurant,Carlton,Seats - Outdoor,16,144.96644595,-37.80178513,Other Cuisines
Mixity Restaurant and Cafe,Carlton,Seats - Outdoor,24,144.966469147,-37.80165695,Cafe / Coffee Shop
Seoul Pocha,Carlton,Seats - Outdoor,12,144.966476308,-37.80160598,Korean
San Churro Chocolateria,Carlton,Seats - Outdoor,24,144.966485562,-37.80156205,Other Cuisines
Cafe Cavallino,Carlton,Seats - Outdoor,88,144.966496703,-37.80144374,Cafe / Coffee Shop
Tabouli,Carlton,Seats - Outdoor,20,144.966488036,-37.8011904,Other Cuisines
Good Measure Melbourne,Carlton,Seats - Indoor,42,144.966507051,-37.8010949,Other Cuisines
Good Measure Melbourne,Carlton,Seats - Outdoor,30,144.966507051,-37.8010949,Other Cuisines
Tono On Borsari,Carlton,Seats - Outdoor,58,144.966672476,-37.80089707,Other Cuisines
Tono On Borsari,Carlton,Seats - Indoor,70,144.966672476,-37.80089707,Other Cuisines
Seasons Provedore,Carlton,Seats - Outdoor,24,144.966659073,-37.80096704,Other Cuisines
Dragon Hot Pot,Carlton,Seats - Outdoor,10,144.96576978,-37.80081687,Other Cuisines
Kahaani,Carlton,Seats - Indoor,35,144.967184315,-37.80103476,Other Cuisines
Palm Arabian,Carlton,Seats - Indoor,20,144.967168398,-37.80113981,Other Cuisines
Il Gusto,Carlton,Seats - Outdoor,24,144.967160519,-37.80118693,Italian
Cairo Nights Restaurant & Bar,Carlton,Seats - Outdoor,48,144.967324233,-37.80137656,Western / Pub / Bistro
Piccolo Mondo,Carlton,Seats - Outdoor,28,144.967246341,-37.80158026,Other Cuisines
La Spaghettata Pty Ltd,Carlton,Seats - Indoor,130,144.967236482,-37.80162591,Other Cuisines
Ziyka Restaurant,Carlton,Seats - Indoor,100,144.967229074,-37.80169333,Other Cuisines
Ziyka Restaurant,Carlton,Seats - Outdoor,50,144.967229074,-37.80169333,Other Cuisines
Agha Juice,Carlton,Seats - Indoor,20,144.967217525,-37.80175883,Other Cuisines
AFGHAN KEBAB CARLTON,Carlton,Seats - Outdoor,10,144.967209194,-37.80180395,Middle Eastern
Leonardo's Pizza Palace,Carlton,Seats - Outdoor,26,144.968597488,-37.80116198,Italian
Coffee On Drummond,Carlton,Seats - Indoor,18,144.968286814,-37.80482036,Cafe / Coffee Shop
Il Gambero,Carlton,Seats - Indoor,221,144.966813823,-37.803305,Italian
Khabbay Restaurant,Carlton,Seats - Outdoor,80,144.966723095,-37.803783,Other Cuisines
Da Guido,Carlton,Seats - Outdoor,20,144.966683147,-37.80403393,Other Cuisines
Da Guido,Carlton,Seats - Indoor,40,144.966683147,-37.80403393,Other Cuisines
Thai City Restaurant,Carlton,Seats - Indoor,90,144.966699249,-37.80443778,Thai
Thai City Restaurant,Carlton,Seats - Outdoor,20,144.966699249,-37.80443778,Thai
Kantin,Carlton,Seats - Indoor,30,144.966699249,-37.80443778,Other Cuisines
Martabak Pecenongan 78 & D'Bakmie,Carlton,Seats - Indoor,15,144.966699249,-37.80443778,Other Cuisines
D'Penyetz & D'Cendol,Carlton,Seats - Indoor,20,144.966699249,-37.80443778,Other Cuisines
D'Penyetz & D'Cendol,Carlton,Seats - Outdoor,22,144.966699249,-37.80443778,Other Cuisines
Ying Thai 2,Carlton,Seats - Indoor,100,144.966699249,-37.80443778,Thai
Lambs Restaurant,Carlton,Seats - Outdoor,22,144.966699249,-37.80443778,Other Cuisines
Universal Restaurant,Carlton,Seats - Outdoor,90,144.966086487,-37.80384773,Other Cuisines
Mandina Kitchen,Carlton,Seats - Indoor,60,144.966098423,-37.80378355,Other Cuisines
La Cabra Carlton,Carlton,Seats - Outdoor,40,144.966117861,-37.80366248,Other Cuisines
Cinta,Carlton,Seats - Outdoor,12,144.963945272,-37.80276989,Other Cuisines
Lemuse,Carlton,Seats - Outdoor,12,144.963909099,-37.80355391,Other Cuisines
THE LINCOLN ARMS PRIVATE DINING ROOMS,Carlton,Seats - Indoor,35,144.964294786,-37.80444613,Other Cuisines
Bar Holiday,Carlton,Seats - Outdoor,15,144.962781304,-37.80336259,Western / Pub / Bistro
Refuel Catering,Carlton,Seats - Indoor,40,144.961002249,-37.80395655,Other Cuisines
Briscola Cafe,Carlton,Seats - Indoor,15,144.96133522,-37.80242146,Cafe / Coffee Shop
Briscola Cafe,Carlton,Seats - Outdoor,20,144.96133522,-37.80242146,Cafe / Coffee Shop
Amicus Espresso,Carlton,Seats - Outdoor,24,144.960033983,-37.80240996,Cafe / Coffee Shop
Bar Scopa,Carlton,Seats - Indoor,16,144.960208799,-37.80290295,Western / Pub / Bistro
Bar Scopa,Carlton,Seats - Outdoor,4,144.960208799,-37.80290295,Western / Pub / Bistro
Seven Seeds,Carlton,Seats - Indoor,90,144.959127095,-37.8028778,Other Cuisines
Arabesque,Carlton,Seats - Outdoor,13,144.958614249,-37.80328692,Other Cuisines
Lanzhou Beef Noodle Soup,Carlton,Seats - Indoor,36,144.959758676,-37.80579439,Other Cuisines
Flovie Florist Cafe,Carlton,Seats - Outdoor,10,144.959925596,-37.80440558,Cafe / Coffee Shop
Flovie Florist Cafe,Carlton,Seats - Indoor,40,144.959925596,-37.80440558,Cafe / Coffee Shop
